,group,quote,who,quotes_1,quotes_2
0,Natural Areas Conservancy,"Stewardship means an ongoing commitment to a unique and special place, to improve it not just for your own enjoyment, but for people in your community or people that you donâ€™t even know.",Hunter Armstrong,"Stewardship means an ongoing commitment to a unique and special place, to improve it not just for your own enjoyment, but for people in your community or people that you don't even know.","b""Stewardship means an ongoing commitment to a unique and special place, to improve it not just for your own enjoyment, but for people in your community or people that you don't even know."""
1,LUNGS (Loisaida United Neighborhood Gardens),Stewardship is a word that can give the impression that we own the land. I do not believe anyone owns this earth.Â  I think that we are part of it and we have a responsibility to respect it and help all creatures and living things sustain themselves.,Charles Krezell,Stewardship is a word that can give the impression that we own the land. I do not believe anyone owns this earth. I think that we are part of it and we have a responsibility to respect it and help all creatures and living things sustain themselves.,b'Stewardship is a word that can give the impression that we own the land. I do not believe anyone owns this earth. I think that we are part of it and we have a responsibility to respect it and help all creatures and living things sustain themselves.'
2,Protectors of Pine Oak Woods,Stewardship means to me that we take the time to treat the land we live on ethically,Don Recklies,Stewardship means to me that we take the time to treat the land we live on ethically,b'Stewardship means to me that we take the time to treat the land we live on ethically'
3,Warren St. Marks Community Garde,"Stewardship means recognizing the gifts that you see before you, recognizing that others have protected it in the past, and holding hands with them from the past on into the future to preserve and enhance something that is precious.",Andrea Kannapel,"Stewardship means recognizing the gifts that you see before you, recognizing that others have protected it in the past, and holding hands with them from the past on into the future to preserve and enhance something that is precious.","b'Stewardship means recognizing the gifts that you see before you, recognizing that others have protected it in the past, and holding hands with them from the past on into the future to preserve and enhance something that is precious.'"
4,The People's Own Organic Power (POOP) Project,"Stewardship makes me think of being the captain of a ferryboat.Â  Itâ€™s about helping everyone arrive at their destination safely.Â  In this way, we are all responsible for each other and not just out for ourselves.Â  Itâ€™s not someone elseâ€™s job, itâ€™s our job. We can be stronger and more resilient and live in a world that is beautiful.",Shawn Shafner,"Stewardship makes me think of being the captain of a ferryboat. It's about helping everyone arrive at their destination safely. In this way, we are all responsible for each other and not just out for ourselves. It's not someone else's job, it's our job. We can be stronger and more resilient and live in a world that is beautiful.","b""Stewardship makes me think of being the captain of a ferryboat. It's about helping everyone arrive at their destination safely. In this way, we are all responsible for each other and not just out for ourselves. It's not someone else's job, it's our job. We can be stronger and more resilient and live in a world that is beautiful."""
5,Lotus Garden,"The community garden is really a gift.Â  A larger gift to the environment, but also a personal gift.Â  A reminder that a handful of committed people can make change.",Ken Karpel,"The community garden is really a gift. A larger gift to the environment, but also a personal gift. A reminder that a handful of committed people can make change.","b'The community garden is really a gift. A larger gift to the environment, but also a personal gift. A reminder that a handful of committed people can make change.'"
6,Trout Unlimited - Trout in the Classroom,"I was planting trees with a high school group to improve our watershed for fish habitat.Â  Many of the students came from different countries and one of them exclaimed, â€œMiss Lilli, I really love this. Itâ€™s so fun. It reminds me of where I come from.â€Â  I asked, â€œWhere is that?â€Â  He replied, â€œThe Dominican Republic.â€ Another student shouted, â€œMiss Lilli! This is amazing. I love this. It reminds me of my home.â€Â  â€œThatâ€™s great, where is home?â€ I asked.Â  He said, â€œChina.â€Â  We were in New York Cityâ€™s watershed. It is still amazing to me that doing this work together gave these students the opportunity to make the connection between their new home and their old.",Lillit Genovesi,"I was planting trees with a high school group to improve our watershed for fish habitat. Many of the students came from different countries and one of them exclaimed, ""Miss Lilli, I really love this. It's so fun. It reminds me of where I come from."" I asked, ""Where is that?"" He replied, ""The Dominican Republic."" Another student shouted, ""Miss Lilli! This is amazing. I love this. It reminds me of my home."" ""That's great, where is home?"" I asked. He said, ""China."" We were in New York City's watershed. It is still amazing to me that doing this work together gave these students the opportunity to make the connection between their new home and their old.","b'I was planting trees with a high school group to improve our watershed for fish habitat. Many of the students came from different countries and one of them exclaimed, ""Miss Lilli, I really love this. It\'s so fun. It reminds me of where I come from."" I asked, ""Where is that?"" He replied, ""The Dominican Republic."" Another student shouted, ""Miss Lilli! This is amazing. I love this. It reminds me of my home."" ""That\'s great, where is home?"" I asked. He said, ""China."" We were in New York City\'s watershed. It is still amazing to me that doing this work together gave these students the opportunity to make the connection between their new home and their old.'"
7,Randall's Island Park Alliance,"One of my favorite things that we do is take students into the water wearing waders and then pull a net to see whatâ€™s actually in the water.Â  I especially like working with adults, because their ideas and opinions about the estuary are pretty well-established. The will say, â€œThere is nothing alive in there!â€ But when they see that not only are things alive, but there is an abundance of wildlife, itâ€™s really a special moment for us all.",Chris Girgenti,"One of my favorite things that we do is take students into the water wearing waders and then pull a net to see what's actually in the water. I especially like working with adults, because their ideas and opinions about the estuary are pretty well-established. The will say, ""There is nothing alive in there!"" But when they see that not only are things alive, but there is an abundance of wildlife, it's really a special moment for us all.","b'One of my favorite things that we do is take students into the water wearing waders and then pull a net to see what\'s actually in the water. I especially like working with adults, because their ideas and opinions about the estuary are pretty well-established. The will say, ""There is nothing alive in there!"" But when they see that not only are things alive, but there is an abundance of wildlife, it\'s really a special moment for us all.'"
8,"Coney Island Beautification Project, Inc.","When we started our work, we decided that environmental justice should be a â€˜kitchen tableâ€™ conversation instead of making a big speech and a rally.Â  It should start as a conversation to find out what is important to people where they live. A lot of people have other things going on, so what I need to do first is to find out what matters to them.Â  And then we can begin.",Pamela Pettyjohn,"When we started our work, we decided that environmental justice should be a â€˜kitchen table' conversation instead of making a big speech and a rally. It should start as a conversation to find out what is important to people where they live. A lot of people have other things going on, so what I need to do first is to find out what matters to them. And then we can begin.","b""When we started our work, we decided that environmental justice should be a \xe2\x80\x98kitchen table' conversation instead of making a big speech and a rally. It should start as a conversation to find out what is important to people where they live. A lot of people have other things going on, so what I need to do first is to find out what matters to them. And then we can begin."""
9,Promenade Garden Conservancy,"I think community engagement is what makes the city.  All the city planning, the government, the roads, and the hospitals, all those things are important--but what really makes a city a vibrant, safe, and interesting place to live is when you have a community that actually cares about it.",Koren Valk,"I think community engagement is what makes the city. All the city planning, the government, the roads, and the hospitals, all those things are important--but what really makes a city a vibrant, safe, and interesting place to live is when you have a community that actually cares about it.","b'I think community engagement is what makes the city. All the city planning, the government, the roads, and the hospitals, all those things are important--but what really makes a city a vibrant, safe, and interesting place to live is when you have a community that actually cares about it.'"
10,8th Street Block Association,Itâ€™s so therapeutic to be involved in beautifying the world,Joyce Jed,It's so therapeutic to be involved in beautifying the world,"b""It's so therapeutic to be involved in beautifying the world"""
11,New York Botanical Garden,"My hope is that we continue to have younger as well as the older generations involved in stewardship efforts. People should be able to be touched by nature in their neighborhoods, particularly in the form of community garden spaces, which provide clean air, fresh food, connection and continued opportunities to be invested and inspired.",Ursula Chanse,"My hope is that we continue to have younger as well as the older generations involved in stewardship efforts. People should be able to be touched by nature in their neighborhoods, particularly in the form of community garden spaces, which provide clean air, fresh food, connection and continued opportunities to be invested and inspired.","b'My hope is that we continue to have younger as well as the older generations involved in stewardship efforts. People should be able to be touched by nature in their neighborhoods, particularly in the form of community garden spaces, which provide clean air, fresh food, connection and continued opportunities to be invested and inspired.'"
12,We Run Brownsville,"My hope for the future of this work is that decision-making does not happen in a silo.Â  ThereÂ  is so much to be gained through collaboration, where people who use parks in Brownsville go to Flushing and vice-versa, and we talk about similarities, challenges, and exchange ideas in ways that donâ€™t happen as often at City Hall. I want elected officials who are aware that collaborations can only happen if they come into communities and talk to people where they are.",Dionne Grayman,"My hope for the future of this work is that decision-making does not happen in a silo. There is so much to be gained through collaboration, where people who use parks in Brownsville go to Flushing and vice-versa, and we talk about similarities, challenges, and exchange ideas in ways that don't happen as often at City Hall. I want elected officials who are aware that collaborations can only happen if they come into communities and talk to people where they are.","b""My hope for the future of this work is that decision-making does not happen in a silo. There is so much to be gained through collaboration, where people who use parks in Brownsville go to Flushing and vice-versa, and we talk about similarities, challenges, and exchange ideas in ways that don't happen as often at City Hall. I want elected officials who are aware that collaborations can only happen if they come into communities and talk to people where they are."""
13,New Yorkers for Parks,"Iâ€™m confronted with this network of stewards every day and Iâ€™m really grateful for it, because itâ€™s moving to see how much New Yorkers care for their neighborhoods and want to make a difference. I hope that doesnâ€™t stop. I hope that well of grit and inspiration and determination never dries up, because itâ€™s really powerful what Iâ€™ve seen everyday people accomplish from every neighborhood across the five boroughs. So, I hope thatâ€™s what the future holds: we need more stewards and more advocates.",Emily Walker,"I'm confronted with this network of stewards every day and I'm really grateful for it, because it's moving to see how much New Yorkers care for their neighborhoods and want to make a difference. I hope that doesn't stop. I hope that well of grit and inspiration and determination never dries up, because it's really powerful what I've seen everyday people accomplish from every neighborhood across the five boroughs. So, I hope that's what the future holds: we need more stewards and more advocates.","b""I'm confronted with this network of stewards every day and I'm really grateful for it, because it's moving to see how much New Yorkers care for their neighborhoods and want to make a difference. I hope that doesn't stop. I hope that well of grit and inspiration and determination never dries up, because it's really powerful what I've seen everyday people accomplish from every neighborhood across the five boroughs. So, I hope that's what the future holds: we need more stewards and more advocates."""
14,Newtown Creek Alliance,"I would like to see a lot more people that are living and working here develop personal relationships with the waterways. There are so many really interesting shorelines and waterways that have different characteristics and environments. Thinking of the country as a whole, its unique how many New Yorkers have access to this amazing estuary system, with the diversity of animals that have been here for thousands of years, the tides, the currents and the movement of the water. The city was built here because of the waterways; we are city islands.",Willis Elkins,"I would like to see a lot more people that are living and working here develop personal relationships with the waterways. There are so many really interesting shorelines and waterways that have different characteristics and environments. Thinking of the country as a whole, its unique how many New Yorkers have access to this amazing estuary system, with the diversity of animals that have been here for thousands of years, the tides, the currents and the movement of the water. The city was built here because of the waterways; we are city islands.","b'I would like to see a lot more people that are living and working here develop personal relationships with the waterways. There are so many really interesting shorelines and waterways that have different characteristics and environments. Thinking of the country as a whole, its unique how many New Yorkers have access to this amazing estuary system, with the diversity of animals that have been here for thousands of years, the tides, the currents and the movement of the water. The city was built here because of the waterways; we are city islands.'"
15,Citizen Projects ,"I hope that stewardship becomes easier for everyone to participate in.  Everyone has to be able to see themselves as welcome to all of the nature-filled places our city has to offer, and for that to occur a lot of systemic things have to change.Stewardship of the environment is tied to these really big questions about how power works -- and it works best when everyone’s invited to the table.",Nancy Nowacek,"I hope that stewardship becomes easier for everyone to participate in.  Everyone has to be able to see themselves as welcome to all of the nature-filled places our city has to offer, and for that to occur a lot of systemic things have to change.Stewardship of the environment is tied to these really big questions about how power works -- and it works best when everyone’s invited to the table.",
